role,cos_bare_last,cos_bare_mean,cos_context_last,cos_context_mean
devils_advocate,-0.04446355998516083,0.006505783647298813,-0.06723678112030029,-0.04345292970538139
dilettante,-0.04227496683597565,-0.05348929762840271,-0.07796068489551544,-0.09405726194381714
dispatcher,0.09070489555597305,0.09070489555597305,-0.025170356035232544,-0.0713336169719696
divorcee,-0.049860693514347076,-0.04692975804209709,-0.06387169659137726,-0.06387169659137726
doctor,0.08603976666927338,0.08603976666927338,-0.06863690912723541,-0.09015874564647675
dreamer,-0.024422109127044678,0.004871264100074768,-0.030645590275526047,-0.030645590275526047
echo,0.10515470802783966,0.10515470802783966,0.011507458984851837,-0.04615712910890579
economist,-0.0676429346203804,-0.05243626981973648,-0.07983752340078354,-0.08531896024942398
ecosystem,-0.06847961992025375,-0.04284713417291641,-0.06451570242643356,-0.09377321600914001
editor,0.10276329517364502,0.10276329517364502,-0.08120729774236679,-0.09831781685352325
egregore,-0.03891339525580406,-0.041762955486774445,0.014254145324230194,0.014254145324230194
elder,0.1032557263970375,0.1032557263970375,-0.03476452827453613,-0.06831470131874084
eldritch,0.025956932455301285,0.055630043148994446,0.04096982628107071,0.0005974471569061279
emissary,-0.03550245612859726,-0.02590053528547287,-0.09498748928308487,-0.09498748928308487
empath,-0.1065131351351738,-0.06843306124210358,-0.08772441744804382,-0.10511976480484009
engineer,-0.04995182156562805,0.004337038844823837,-0.06891468912363052,-0.0852045938372612
entrepreneur,-0.0592949315905571,-0.014654669910669327,-0.07867613434791565,-0.09818248450756073
evaluator,-0.058903902769088745,-0.01854693330824375,-0.07264010608196259,-0.08764955401420593
evangelist,-0.06929220259189606,-0.058690428733825684,-0.07349732518196106,-0.07349732518196106
examiner,-0.04881906881928444,0.0014590919017791748,-0.05375993251800537,-0.08692385256290436
exile,-0.051887303590774536,-0.008696131408214569,-0.02760196477174759,-0.07604264467954636
expatriate,-0.09128661453723907,-0.06664496660232544,-0.09827197343111038,-0.10537774115800858
facilitator,-0.0749187245965004,-0.08001302182674408,-0.11523953080177307,-0.11523953080177307
familiar,-0.04585692286491394,-0.011377770453691483,-0.06383757293224335,-0.08551189303398132
fixer,-0.034368522465229034,0.0019360855221748352,-0.04475098475813866,-0.04475098475813866
flaneur,-0.03819190710783005,0.005489259958267212,-0.05776269733905792,-0.04299171268939972
fool,-0.044708698987960815,-0.0017171725630760193,-0.04348811134696007,-0.07083161920309067
forecaster,-0.07039513438940048,-0.029558293521404266,-0.09139760583639145,-0.09139760583639145
futurist,-0.071841761469841,-0.066867895424366,-0.09079614281654358,-0.10670710355043411
gamer,-0.032534223049879074,0.012197203934192657,-0.07138671725988388,-0.08633027970790863
generalist,-0.06424282491207123,-0.019959688186645508,-0.08008205890655518,-0.08008205890655518
genie,-0.025012575089931488,0.009855806827545166,-0.027271363884210587,-0.070929154753685
geographer,-0.038576945662498474,-0.0005615837872028351,-0.060536228120326996,-0.060536228120326996
ghost,0.07817963510751724,0.07817963510751724,-0.027506843209266663,-0.07257742434740067
golem,0.02375735342502594,0.053976427763700485,0.019071664661169052,0.019071664661169052
gossip,-0.02362785115838051,0.013257548213005066,-0.033293068408966064,-0.06899233907461166
grader,-0.06541255116462708,-0.028227880597114563,-0.09845299273729324,-0.09845299273729324
graduate,0.05600659176707268,0.05600659176707268,-0.12813085317611694,-0.11170000582933426
